Country Name,Life expectancy total population,Average Immunization,Medical doctors (number)
Afghanistan,64.1491491239359,65.13333333333333,9500.4
Albania,78.35526229996896,97.73333333333333,4826.0
Algeria,76.49133877269958,90.33333333333333,73456.5
Angola,60.44621247009758,53.79999999999999,6496.5
Antigua and Barbuda,76.7726371388261,94.86666666666667,264.0
Argentina,76.35741627394623,89.60000000000001,175866.0
Armenia,74.95175096152823,94.13333333333333,10745.0
Australia,82.66568108272199,94.60000000000001,90220.0
Austria,81.69093155841401,90.33333333333333,45653.0
Azerbaijan,72.67923724589969,96.13333333333333,32166.0
Bahrain,76.9219155546871,98.66666666666667,1270.0
Bangladesh,72.20339702879653,97.66666666666667,87758.2
Barbados,79.00050196530924,93.0,712.0
Belarus,74.502962982016,97.8,43594.2
Belgium,81.544887605258,97.13333333333333,35205.6
Belize,74.4545273310244,94.39999999999999,417.5
Benin,61.1679527225279,73.53333333333333,731.3333333333334
Bhutan,71.09848005949054,97.53333333333335,304.2
Bosnia and Herzegovina,77.14942819100436,75.60000000000001,7413.0
Botswana,68.54711466713765,95.66666666666667,841.5
Brazil,75.52908606601686,90.0,468834.0
Brunei Darussalam,75.59409178032567,98.46666666666665,711.0
Bulgaria,75.017102580908,91.2,29352.5
Burkina Faso,60.69912093791534,90.0,1522.2
Burundi,60.87579812572238,92.0,892.0
Cabo Verde,72.45969404669142,96.0,423.3333333333333
Cameroon,58.48223558631238,70.06666666666666,3259.0
Canada,82.024851098718,83.86666666666666,90643.0
Central African Republic,52.17046990581055,47.666666666666664,329.5
Chad,53.70689132313114,42.86666666666667,709.8
Chile,79.8549484959038,94.73333333333333,44881.0
China,76.49466422122856,99.0,2841939.2
Colombia,76.93647998854168,92.39999999999999,103335.6
Comoros,63.92979865658869,90.66666666666667,220.0
Costa Rica,79.95230612131482,95.13333333333333,14066.25
Croatia,78.09379832611201,92.53333333333335,13841.2
Cuba,78.68898783499354,99.0,91917.0
Cyprus,80.66299917390674,94.26666666666667,3193.2
Denmark,81.022062479074,90.56926166950355,23305.75
Dominican Republic,73.76336376572661,87.46666666666665,15287.5
Ecuador,76.63295550510264,83.26666666666667,34775.333333333336
El Salvador,72.92338337017475,86.33333333333333,14191.0
Equatorial Guinea,58.08952738992146,51.06666666666666,507.0
Eritrea,65.58259178661407,96.2,238.0
Estonia,78.380257336204,91.73333333333333,4563.4
Eswatini,58.32245400341681,88.86666666666667,197.66666666666663
Ethiopia,65.8547016185289,63.6,8395.0
Fiji,67.31726460473871,98.0,747.0
Finland,81.7192263306,89.43592833617022,23525.25
France,82.731173097336,92.13333333333333,209756.4
Gabon,65.7627978514023,70.39999999999999,1163.6666666666667
Georgia,73.63133336156609,93.93333333333334,25117.8
Germany,80.98290735232399,92.33333333333333,351316.0
Ghana,63.4522689674782,93.66666666666667,3440.4
Greece,81.59869735462,97.33333333333333,65329.8
Grenada,72.51642913390344,93.40000000000002,158.0
Guatemala,73.78641763490964,82.73333333333333,5429.0
Guinea,60.55218549167096,46.86666666666667,1580.3333333333333
Guinea-Bissau,57.62294451983392,86.73333333333333,299.6666666666667
Guyana,69.76316491167947,97.26666666666665,1417.0
Haiti,63.28837228981612,63.666666666666664,1758.5
Honduras,74.85442563756165,92.0,4229.5
Hungary,76.141892694726,93.10259500283689,32351.8
Iceland,82.565585779522,88.16926166950356,1329.6
India,69.15574389510891,89.53333333333335,927447.0
Indonesia,71.2990216633788,85.86666666666667,102454.5
Iraq,70.28645382242749,79.26666666666667,29969.666666666668
Ireland,82.028534105194,93.66666666666667,15566.4
Israel,82.579647206404,96.8,28893.6
Italy,83.17224098086,92.86666666666667,239300.4
Jamaica,74.31326973543455,94.33333333333333,1355.6666666666667
Japan,84.24722816678141,97.8,311755.5
Jordan,74.27691710115418,94.93333333333334,25214.33333333333
Kazakhstan,72.7904219672982,96.2,72678.0
Kenya,65.82813225228435,89.8,8042.0
Kuwait,75.28033767649919,96.33333333333333,10150.0
Latvia,75.247538390142,96.8,6292.8
Lebanon,78.94928125779992,81.66666666666667,14123.8
Lesotho,52.93111756837968,87.66666666666667,998.0
Liberia,63.25027679753623,81.93333333333334,207.0
Libya,72.60100234737169,87.13333333333333,12957.5
Lithuania,75.730184572878,93.33333333333333,12790.6
Luxembourg,82.40907536461,97.60000000000001,1706.3333333333333
Madagascar,66.3030414856387,70.39999999999999,5230.0
Malawi,63.28314005872296,88.26666666666667,1649.5
Malaysia,75.89272956016674,96.86666666666667,56630.6
Maldives,78.29620918309399,99.0,946.3333333333334
Mali,58.42101977443578,73.46666666666665,2174.5
Malta,82.356968916082,95.2,1240.0
Mauritania,64.46584333764353,77.06666666666666,768.0
Mauritius,74.49791516112019,94.46666666666665,2786.2
Mexico,75.0135179547568,81.2,296531.2
Mongolia,69.63874708131092,98.66666666666667,10201.0
Montenegro,76.7167231824078,70.93333333333332,1640.6
Morocco,76.17717080198348,99.0,26003.0
Mozambique,59.11177151760298,87.66666666666667,2407.6666666666665
Myanmar,66.47872923263847,88.86666666666667,38790.0
Namibia,62.968169433452736,85.60000000000001,1433.0
Nepal,70.20765703654664,89.66666666666667,23109.0
Netherlands,81.78186475360799,93.53333333333335,61764.6
New Zealand,81.7285804197722,92.53333333333335,15472.6
Nicaragua,74.097957741853,98.33333333333333,7221.75
Niger,61.577659117221,81.13333333333333,607.8
Nigeria,53.93119354964498,52.06666666666666,79054.0
North Macedonia,75.62207741202883,88.39999999999999,5975.0
Norway,82.626965031266,96.0,24890.4
Oman,77.14003819213816,99.0,9188.8
Pakistan,66.95726762569218,74.53333333333335,207744.0
Panama,78.22682022508934,87.53333333333335,6548.6
Papua New Guinea,63.99533554661456,41.333333333333336,591.0
Paraguay,74.03483441202098,88.86666666666667,9421.0
Peru,76.33482075147474,86.73333333333333,42078.5
Philippines,71.05387312120688,71.0,63141.0
Poland,77.927960548244,94.66666666666667,90150.33333333331
Portugal,81.37241847771,98.26666666666667,52702.8
Qatar,79.57725981228847,98.33333333333333,7032.5
Romania,75.45684727309799,88.46666666666665,51626.5
Russian Federation,72.7014728193482,97.33333333333333,590299.0
Rwanda,68.29398545928902,97.39999999999999,1500.6
Samoa,73.06661048941609,64.86666666666666,67.0
Sao Tome and Principe,69.92454346800815,94.66666666666667,84.0
Saudi Arabia,74.86580003739044,97.26666666666667,85865.0
Senegal,67.30198176499202,89.06666666666666,1669.5
Serbia,75.783544576826,91.39999999999999,24701.5
Seychelles,73.825592910356,97.86666666666667,221.0
Sierra Leone,53.83384788317225,87.93333333333332,566.0
Singapore,83.050048061686,95.73333333333333,13371.4
Slovenia,81.20960395955001,89.56926166950355,6373.0
Solomon Islands,72.675139194925,86.73333333333333,120.0
South Africa,63.639464186763256,77.26666666666667,44422.5
South Sudan,57.39485001292032,47.26666666666667,411.0
Spain,83.391822021226,96.53333333333335,186539.0
Sri Lanka,76.72339801520147,99.0,20463.0
Sudan,64.89244195648125,91.66666666666667,13264.0
Suriname,71.55091002040281,74.60000000000001,593.0
Sweden,82.523895292768,90.60000000000001,48191.2
Switzerland,83.567678244386,86.53333333333335,36183.6
Syrian Arab Republic,71.53617428670132,51.199999999999996,22485.0
Thailand,76.78064993799168,98.06666666666666,47680.8
Timor-Leste,69.01570973853003,79.33333333333333,918.5
Togo,60.47531481795973,79.66666666666667,505.8
Trinidad and Tobago,73.3104607460546,93.26666666666665,5511.75
Tunisia,76.34236205912802,91.93333333333334,14684.666666666666
Turkey,77.0941,97.33333333333333,150004.2
Uganda,62.408758044252544,89.2,9249.666666666666
United Arab Emirates,77.56014883916086,98.73333333333333,23108.4
Uruguay,77.64801940594225,94.39999999999999,15260.5
Vanuatu,70.25209856235237,82.46666666666667,46.0
Zambia,62.94261940783498,91.46666666666665,1770.0
Zimbabwe,60.60915493726263,88.93333333333334,2672.0
